download_image_path,label
in_hoosier_ver01_data_sn82015679_00202191757_1904012401_0467_008_0_96.jpg,human
dlc_rottweiler_ver01_data_sn83045462_00280655533_1903102601_0046_004_0_95.jpg,human
curiv_joshuaTree_ver01_data_sn85066387_00175037858_1899062601_0564_009_0_90.jpg,human|landscape
curiv_fiddleneck_ver01_data_sn85066408_00271767213_1916051601_0139_006_0_97.jpg,human
me_aroostook_ver01_data_sn84022374_00332895473_1900112801_0384_000_0_96.jpg,human
curiv_duckweed_ver02_data_sn85066408_00271767079_1910110201_0896_011_0_93.jpg,human
ohi_dearfield_ver01_data_sn85067315_00383341085_1905112301_1260_000_0_97.jpg,human|landscape
dlc_ghana_ver01_data_sn84026749_00280764462_1918041401_0665_007_0_98.jpg,human
iune_article_ver01_data_sn84025828_0020219381A_1920101601_0023_001_0_97.jpg,human
txdn_infiniti_ver03_data_sn88083938_00200294269_1896020901_0185_001_0_92.jpg,human
dlc_uniform_ver01_data_sn84026749_100492921_1909042701_0342_007_0_92.jpg,human
mohi_ingalls_ver01_data_sn84020274_00294559462_1902030301_0079_003_0_95.jpg,human
mohi_henri_ver01_data_sn89067273_00200292674_1915030401_0744_002_0_97.jpg,human
ndhi_edosian_ver01_data_sn85042224_0038334668A_1908080701_0592_018_0_95.jpg,human
ak_caribou_ver01_data_sn82014189_00279525954_1913022701_0501_001_0_99.jpg,human|human-structure|landscape
wa_index_ver01_data_sn83045604_00202199719_1900072901_0077_001_0_97.jpg,human
dlc_frenchbulldog_ver04_data_sn83045433_00280764115_1920080801_0230_007_0_93.jpg,human
nbu_pound_ver01_data_sn99021999_00280778369_1907060201_0299_000_0_98.jpg,human
dlc_triumph_ver01_data_sn83030214_00175036817_1898022201_0425_003_0_95.jpg,human
dlc_bravo_ver01_data_sn84026749_100492313_1905111801_0317_007_0_98.jpg,human
nn_futuyma_ver02_data_sn83030272_00211100047_1914062101_0939_002_0_94.jpg,human
mnhi_richfield_ver01_data_sn83045366_00206533894_1901032301_0308_001_0_98.jpg,human|human-structure
az_chuckwalla_ver01_data_sn84020558_00211105860_1910061501_0275_001_0_97.jpg,human
txdn_infiniti_ver03_data_sn88083938_00200294269_1896102901_1081_000_0_99.jpg,human-structure|landscape
whi_harriet_ver01_data_sn85033139_00271769970_1919012301_0842_004_0_98.jpg,human
curiv_oasis_ver01_data_sn85042462_0017504727A_1905030501_0062_005_0_97.jpg,human
iune_charlie_ver01_data_sn84024055_00280761047_1906122901_0501_003_0_96.jpg,human
dlc_hooloovoo_ver01_data_sn83045462_00280656823_1920102401_0640_003_0_98.jpg,human
dlc_victor_ver01_data_sn84026749_100492660_1910032101_0530_005_0_99.jpg,human
mohi_gaines_ver01_data_sn84020274_00211109117_1900120201_0056_000_0_98.jpg,human
nmu_christie_ver01_data_sn92070417_00415626459_1913061001_1144_006_0_94.jpg,human
mimtptc_edenville_ver01_data_sn83016689_0027955145A_1908052702_0629_012_0_95.jpg,human
dlc_ibizanhound_ver01_data_sn83045462_00280655181_1898021001_0276_003_0_93.jpg,human
dlc_liberia_ver01_data_sn83030214_0017504226A_1904022101_0355_004_0_99.jpg,human
